City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
414,Sfantu Gheorghe,45.8667,25.7833,21.81,94,100,2.62,RO,2022-02-04 02:20:00
415,Zaozerne,45.1582,33.2787,35.94,77,100,16.04,UA,2022-02-04 02:21:40
416,Koumac,-20.5667,164.2833,85.23,75,91,10.45,NC,2022-02-04 02:22:40
417,Kjollefjord,70.9457,27.3465,18.99,85,72,12.8,NO,2022-02-04 02:22:41
418,Gobabis,-22.45,18.9667,68.83,45,25,8.75,NA,2022-02-04 02:22:41
419,Yima,34.7381,111.8839,39.24,46,1,9.19,CN,2022-02-04 02:22:41
420,Socorro,31.6546,-106.3033,34.0,57,40,9.22,US,2022-02-04 02:22:42
421,Kabanjahe,3.1001,98.4908,65.16,79,32,2.57,ID,2022-02-04 02:22:42
422,Sattahip,12.6664,100.9007,87.3,78,20,5.75,TH,2022-02-04 02:22:43
423,Filadelfia,39.9523,-75.1638,54.21,95,100,1.99,US,2022-02-04 02:20:17
424,Nouakchott,18.0858,-15.9785,69.73,26,0,10.65,MR,2022-02-04 02:22:43
425,Kralendijk,12.15,-68.2667,79.21,80,3,19.19,BQ,2022-02-04 02:22:44
426,Gazanjyk,39.2446,55.5154,46.76,39,86,3.98,TM,2022-02-04 02:22:44
427,Eureka,40.8021,-124.1637,48.92,85,2,1.99,US,2022-02-04 02:19:20
428,Bagdarin,54.4333,113.6,-2.43,84,100,3.8,RU,2022-02-04 02:22:45
429,Gerash,27.6652,54.1371,41.14,37,0,1.72,IR,2022-02-04 02:22:45
430,Ponta Delgada,37.7333,-25.6667,60.49,72,20,13.8,PT,2022-02-04 02:22:45
431,Shitanjing,39.2342,106.3439,14.52,35,0,0.16,CN,2022-02-04 02:22:46
432,Nanortalik,60.1432,-45.2371,26.62,95,100,11.25,GL,2022-02-04 02:21:49
433,Jining,35.405,116.5814,44.01,1,37,7.63,CN,2022-02-04 02:22:46
434,La Rioja,42.25,-2.5,46.04,61,94,3.51,ES,2022-02-04 02:22:47
435,Lodja,-3.4833,23.4333,67.77,92,100,1.5,CD,2022-02-04 02:22:47
436,Anaconda,46.1285,-112.9423,27.59,89,19,6.26,US,2022-02-04 02:22:48
437,Dudinka,69.4058,86.1778,-21.91,100,65,4.0,RU,2022-02-04 02:22:05
438,Mao,39.8885,4.2658,48.76,93,20,6.91,ES,2022-02-04 02:22:48
439,Krasnoborsk,61.5598,45.934,-2.74,100,88,3.29,RU,2022-02-04 02:22:49
440,Moose Factory,51.2585,-80.6094,-14.82,64,0,6.91,CA,2022-02-04 02:22:45
441,Huangmei,30.1924,116.025,41.16,76,90,3.49,CN,2022-02-04 02:22:49
442,Rapid Valley,44.0625,-103.1463,26.56,52,0,5.75,US,2022-02-04 02:22:50
443,Puerto Madero,14.7208,-92.4215,77.2,83,0,0.0,MX,2022-02-04 02:22:50
444,Peruibe,-24.32,-46.9983,75.38,95,100,6.38,BR,2022-02-04 02:22:10
445,Nueva Gerona,21.8833,-82.8,75.54,82,0,8.75,CU,2022-02-04 02:22:51
446,Megion,61.0296,76.1136,21.22,95,100,16.24,RU,2022-02-04 02:22:51
447,Sabha,27.0377,14.4283,47.57,61,0,9.4,LY,2022-02-04 02:22:52
448,Eyrarbakki,63.863,-21.1481,26.65,69,51,25.77,IS,2022-02-04 02:22:52
449,Saint-Francois,46.4154,3.9054,40.44,87,100,4.61,FR,2022-02-04 02:22:53
450,Ilebo,-4.3167,20.5833,66.79,98,100,1.59,CD,2022-02-04 02:22:53
451,Moissy-Cramayel,48.6167,2.6,46.0,94,100,12.66,FR,2022-02-04 02:22:53
452,Orbetello,42.4408,11.2196,51.8,93,100,8.05,IT,2022-02-04 02:22:54
453,Solnechnyy,50.7214,136.6319,0.25,93,99,2.42,RU,2022-02-04 02:22:54
454,Vidim,56.4088,103.1106,-4.7,100,100,4.0,RU,2022-02-04 02:22:55
455,Kenai,60.5544,-151.2583,25.14,91,100,21.85,US,2022-02-04 02:18:50
456,Bella Vista,36.4295,-94.2316,18.12,83,100,5.01,US,2022-02-04 02:22:55
457,Calamar,10.2511,-74.9146,80.55,76,0,7.27,CO,2022-02-04 02:22:56
458,Itarema,-2.9248,-39.9167,78.49,84,89,11.27,BR,2022-02-04 02:21:50
459,Mauriti,-7.3892,-38.7744,77.31,60,87,1.59,BR,2022-02-04 02:22:56
460,Kismayo,-0.3582,42.5454,77.99,87,97,19.04,SO,2022-02-04 02:22:57
461,Hovd,48.0056,91.6419,-9.69,81,23,3.89,MN,2022-02-04 02:22:57
462,Necochea,-38.5473,-58.7368,66.04,92,100,5.57,AR,2022-02-04 02:20:56
463,Faya,18.3851,42.4509,53.71,58,10,3.53,SA,2022-02-04 02:23:58
464,Bairiki,1.3292,172.9752,86.0,74,40,13.8,KI,2022-02-04 02:23:58
465,Muzhi,65.3667,64.6667,-2.97,98,100,3.18,RU,2022-02-04 02:23:59
466,Bonthe,7.5264,-12.505,75.97,88,2,2.98,SL,2022-02-04 02:20:29
467,Beipiao,41.7919,120.7792,12.31,47,0,17.05,CN,2022-02-04 02:23:59
468,Parrita,9.5201,-84.3225,82.17,79,1,2.06,CR,2022-02-04 02:24:00
469,Cururupu,-1.8283,-44.8683,75.56,91,92,3.42,BR,2022-02-04 02:24:00
470,Fort-Shevchenko,44.5086,50.263,43.11,95,100,14.34,KZ,2022-02-04 02:24:00
471,Lompoc,34.6391,-120.4579,56.79,77,0,4.61,US,2022-02-04 02:23:56
472,Shenjiamen,29.9576,122.298,44.87,63,100,13.78,CN,2022-02-04 02:20:21
