City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
583,Bethanien,,80.4,clear sky,-26.502,17.1583,Bethanie Hotel
592,Payo,ID,81.32,overcast clouds,-3.7508,103.6372,Mess keban agung
593,Bogo,PH,75.06,overcast clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
599,Ixtapa,MX,67.23,scattered clouds,20.7,-105.2,hotel la terminal
604,Waipawa,NZ,69.46,light rain,-41.4122,175.5153,Tora Coastal Walk
605,Serrinha,BR,68.56,few clouds,-11.6642,-39.0075,Hotel Serra Sol
606,Durban,ZA,74.32,overcast clouds,-29.8579,31.0292,Hilton Durban
608,Basco,PH,74.73,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
609,Muli,MV,82.22,few clouds,2.9167,73.5667,Medhufushi Island Resort
613,Siparia,TT,74.07,clear sky,10.1333,-61.5,Brook Gardens
614,San Juan,AR,69.24,scattered clouds,-31.5375,-68.5364,Hotel Provincial
617,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
618,Tucuman,AR,71.6,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
625,Maningrida,AU,82.56,light rain,-12.0667,134.2667,Dhukurrdji Lodge
626,Nicoya,CR,71.02,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
629,Seminole,US,66.42,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
640,Venice,US,65.05,mist,27.0998,-82.4543,A Beach Retreat On Casey Key
641,Grand Baie,MU,83.44,overcast clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
644,Laranjeiras Do Sul,BR,65.61,light rain,-25.4078,-52.4161,Hotel Palmeiras
